External ID,Name,Product Type,Internal Reference,Barcode,Sales Price,Cost,Weight,Sales Description,IsSalesProduct
product_template_40,Plátanos 1kg,Goods,FOOD40,750123456040,2.10,1.00,1.0,"Plátanos maduros, fuente natural de potasio.", FALSE
product_template_41,Uvas Verdes 1kg,Goods,FOOD41,750123456041,4.00,2.50,1.0,"Uvas verdes frescas, jugosas y dulces.", FALSE
product_template_42,Naranjas 1kg,Goods,FOOD42,750123456042,2.50,1.20,1.0,"Naranjas frescas, ideales para jugos y postres.", FALSE
product_template_43,Piña Entera 1.5kg,Goods,FOOD43,750123456043,3.50,2.00,1.5,"Piña fresca, jugosa y rica en vitamina C.", FALSE
product_template_44,Sandía 4kg,Goods,FOOD44,750123456044,7.00,4.50,4.0,"Sandía fresca, dulce y jugosa, perfecta para el verano.", FALSE
product_template_45,Limones 1kg,Goods,FOOD45,750123456045,2.80,1.50,1.0,"Limones frescos, ideales para jugos y cocina.", FALSE
product_template_46,Aguacates 1kg,Goods,FOOD46,750123456046,5.50,3.20,1.0,"Aguacates frescos, cremosos y ricos en grasas saludables.", FALSE
product_template_47,Zanahorias 1kg,Goods,FOOD47,750123456047,1.90,0.90,1.0,"Zanahorias frescas, ricas en betacarotenos.", FALSE
product_template_48,Tomates 1kg,Goods,FOOD48,750123456048,2.20,1.00,1.0,"Tomates frescos de ensalada, jugosos y dulces.", FALSE
product_template_49,Cebollas 1kg,Goods,FOOD49,750123456049,1.50,0.70,1.0,"Cebollas frescas, base esencial de la cocina.", FALSE
product_template_50,Pepinos 1kg,Goods,FOOD50,750123456050,2.00,0.90,1.0,"Pepinos frescos, crujientes y bajos en calorías.", FALSE
